user_prompt,reference,hypothesis,rouge1_fmeasure,rouge2_fmeasure,rougeL_fmeasure,granular_bleu_score
For file 'sales_data.csv': Ensure the file exists. Ensure the file size is within the range of 1KB to 10MB. Ensure the first line contains valid CSV headers.,"expect_file_to_exist(file_path=""sales_data.csv""),expect_file_size_to_be_between(file_path=""sales_data.csv"", min_size=1024, max_size=10485760),expect_file_to_have_valid_table_header(file_path=""sales_data.csv"")","expect_file_to_exist(file_path=""sales_data.csv""),expect_file_size_to_be_between(min_value=1_000, max_value=10_000_000),expect_file_to_have_valid_csv_headers(file_path=""sales_data.csv"")  # Note: This is a placeholder expectation. Actual expectations may vary based on the specific requirements.",0.651685393258427,0.5287356321839081,0.6292134831460675,59.67272755168037
For field 'forecast_id': Ensure the field matches the type 'text'. Verify that all values are unique and not null.,"expect_column_values_to_be_of_type(column=""forecast_id"", type_=""text""),expect_column_values_to_not_be_null(column=""forecast_id""),expect_column_values_to_be_unique(column=""forecast_id"")","expect_column_values_to_be_of_type(column=""forecast_id"", type_=""text""),expect_column_values_to_be_unique(column=""forecast_id""),expect_column_values_to_not_be_null(column=""forecast_id"")",1.0,1.0,0.9032258064516129,100.00000000000004
For field 'result_json': Ensure all entries in 'result_json' are valid JSON objects and conform to the specified JSON schema for results.,"expect_column_values_to_be_json_parseable(column=""result_json""),expect_column_values_to_match_json_schema(column=""result_json"", schema=""specified_json_schema"")","expect_column_values_to_be_json_parseable(column=""result_json""),expect_column_values_to_match_json_schema(column=""result_json"", schema={""type"": ""object"", ""properties"": {""result"": {""type"": ""object"", ""properties"": {""type"": {""type"": ""string""}, ""value"": {""type"": ""string""}, ""message"": ""Expected type to be string""}, ""value"": {""type"": ""string""}, ""message"": ""Expected value to be string""}}}})",0.5753424657534246,0.5633802816901409,0.5753424657534246,31.108861125242846
For field 'warehouse_location': Ensure the field matches the type 'text'. Validate that (warehouse_location) does not contain any SQL-like patterns from a predefined disallowed list.,"expect_column_values_to_be_of_type(column=""warehouse_location"", type_=""text""),expect_column_values_to_not_match_regex_list(column=""warehouse_location"", regex_list=[""SELECT"", ""INSERT"", ""UPDATE"", ""DELETE"", ""--"", "";""])","expect_column_values_to_be_of_type(column=""warehouse_location"", type_=""text""),expect_column_values_to_not_match_regex_list(column=""warehouse_location"", regex_list=["".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*"", "".*",0.9259259259259259,0.923076923076923,0.9259259259259259,15.301987076930564
"For field 'job_title': Ensure values in (job_title) must exist in the list ['Manager', 'Developer', 'Designer']. Ensure this field exists.","expect_column_to_exist(column=""job_title""),expect_column_values_to_be_in_set(column=""job_title"", value_set=['Manager', 'Developer', 'Designer'])","expect_column_to_exist(column=""job_title""),expect_column_values_to_be_in_set(column=""job_title"", value_set=['Manager', 'Developer', 'Designer'])",1.0,1.0,1.0,100.00000000000004
For the `last_updated` column: Confirm that all entries are in the correct datetime format and represent timestamps in the last 30 days.,"expect_column_values_to_match_strftime_format(column=""last_updated"", strftime_format=""%Y-%m-%d %H:%M:%S""),expect_column_values_to_be_dateutil_parseable(column=""last_updated"")","expect_column_values_to_match_strftime_format(column=""last_updated"", strftime_format=""%Y-%m-%dT%H:%M:%S.%fZ""),expect_column_values_to_be_between(column=""last_updated"", min_value=""2023-10-01T00:00:00Z"", max_value=""2023-11-01T00:00:00Z"")  # Replace with actual date range based on today's date.",0.625,0.5384615384615384,0.625,51.15680868889456
For field 'description': Ensure the field matches the type 'text'. Validate that the length does not exceed 1000 characters and does not contain any SQL-like patterns. Ensure this field exists.,"expect_column_to_exist(column=""description""),expect_column_values_to_be_of_type(column=""description"", type_=""text""),expect_column_value_lengths_to_be_between(column=""description"", min_value=0, max_value=1000),expect_column_values_to_not_match_regex(column=""description"", regex=r"".*(SELECT|INSERT|UPDATE|DELETE|DROP|WHERE|;).*"")","expect_column_to_exist(column=""description""),expect_column_values_to_be_of_type(column=""description"", type_=""text""),expect_column_value_lengths_to_be_between(column=""description"", min_value=0, max_value=1000),expect_column_values_to_not_match_regex(column=""description"", regex=r""^(?:SELECT|INSERT|UPDATE|DELETE|CREATE|DROP|ALTER|TRUNCATE|SET|FROM|WHERE|ORDER|BY|LIMIT|OFFSET|UNION|INTERSECT|EXCEPT|MATCH|JOIN|LEFT|RIGHT|FULL|INNER|OUTER|ANY|ALL|NULL|CURRENT_DATE|CURRENT_TIME|CURRENT_TIMESTAMP|NOW|DATE|TIME|TIMESTAMP|YEAR|MONTH|DAY|HOUR|MINUTE|SECOND|YEAR|MONTH|DAY|HOUR|MINUTE|SECOND|DATE|TIME|TIMESTAMP|YEAR|MONTH|DAY|HOUR|MINUTE|SECOND|DATE|TIME|TIMESTAMP|YEAR|MONTH|DAY|HOUR|MINUTE|SECOND|DATE|TIME|TIMESTAMP|YEAR|MONTH|DAY|HOUR|MINUTE|SECOND|DATE|TIME|TIMESTAMP|YEAR|MONTH|DAY|HOUR|MINUTE|SECOND|DATE",0.547486033519553,0.519774011299435,0.547486033519553,39.081953572011926
For the `measurement_value` field: Validate that values are within the range of -100 to 100 and are of type 'float'.,"expect_column_values_to_be_between(column=""measurement_value"", min_value=-100, max_value=100),expect_column_values_to_be_of_type(column=""measurement_value"", type_=""float"")","expect_column_values_to_be_between(column=""measurement_value"", min_value=-100, max_value=100),expect_column_values_to_be_of_type(column=""measurement_value"", type_=""float"")",1.0,1.0,1.0,100.00000000000004
Verify that the `sku` column values conform to the regular expression pattern `^[A-Z0-9]{8}$` to ensure proper SKU formatting.,"expect_column_values_to_match_regex(column=""sku"", regex=r""^[A-Z0-9]{8}$"")","expect_column_values_to_match_regex(column=""sku"", regex=r""^[A-Z0-9]{8}$"")",1.0,1.0,1.0,100.00000000000004
Check that the `special_requests` column contains valid JSON objects and conforms to the specified JSON schema.,"expect_column_values_to_be_json_parseable(column=""special_requests""),expect_column_values_to_match_json_schema(column=""special_requests"", schema={""type"": ""object""})","expect_column_values_to_be_json_parseable(column=""special_requests""),expect_column_values_to_match_json_schema(column=""special_requests"", schema={""type"": ""object"", ""properties"": {""request_type"": {""type"": ""string""}, ""request_details"": {""type"": ""object"", ""properties"": {""request_id"": {""type"": ""string""}, ""request_date"": {""type"": ""string""}, ""request_status"": {""type"": ""string""}}}}}})",0.676470588235294,0.6666666666666666,0.676470588235294,36.67510615552731
Check that the `grade` column values are between 0 and 100 and that no null values are present.,"expect_column_values_to_be_between(column=""grade"", min_value=0, max_value=100),expect_column_values_to_not_be_null(column=""grade"")","expect_column_values_to_be_between(column=""grade"", min_value=0, max_value=100),expect_column_values_to_not_be_null(column=""grade"")",1.0,1.0,1.0,100.00000000000004
"For table 'inventory': Ensure the columns match the specified order ('product_id', 'product_name', 'stock_quantity', 'price').","expect_table_columns_to_match_ordered_list(column_list=[""product_id"", ""product_name"", ""stock_quantity"", ""price""])","expect_column_values_to_match_column_order(column_list=['product_id', 'product_name','stock_quantity', 'price'])",0.875,0.6,0.875,23.603916639280413
"For the `sensor_status` field, validate that values must be either 'active' or 'inactive'. Ensure this field exists.","expect_column_to_exist(column=""sensor_status""),expect_column_values_to_be_in_set(column=""sensor_status"", value_set=[""active"", ""inactive""])","expect_column_to_exist(column=""sensor_status""),expect_column_values_to_be_in_set(column=""sensor_status"", value_set=[""active"", ""inactive""])",1.0,1.0,1.0,100.00000000000004
Verify that the `listing_date` values are formatted as 'YYYY-MM-DD' and are not in the future.,"expect_column_values_to_match_strftime_format(column=""listing_date"", strftime_format=""%Y-%m-%d""),expect_column_values_to_be_dateutil_parseable(column=""listing_date"")  # This ensures they are valid dates,# Additional check for future dates would require a custom implementation as it is not covered by the listed expectations.","expect_column_values_to_match_strftime_format(column=""listing_date"", strftime_format=""%Y-%m-%d""),expect_column_values_to_be_increasing(column=""listing_date"")  # This assumes that the listing dates are in ascending order.",0.6666666666666666,0.5609756097560976,0.6190476190476191,62.41333697307447
For field `user_id`: Ensure the field matches the type 'string'. Ensure all values in `user_id` are unique and not null.,"expect_column_values_to_be_of_type(column=""user_id"", type_=""string""),expect_column_values_to_not_be_null(column=""user_id""),expect_column_values_to_be_unique(column=""user_id"")","expect_column_values_to_be_of_type(column=""user_id"", type_=""string""),expect_column_values_to_be_unique(column=""user_id""),expect_column_values_to_not_be_null(column=""user_id"")",1.0,1.0,0.9032258064516129,100.00000000000004
Ensure that the `view_count` column contains non-negative integers and is sorted in descending order.,"expect_column_values_to_be_between(column=""view_count"", min_value=0),expect_column_values_to_be_decreasing(column=""view_count"")","expect_column_values_to_be_between(column=""view_count"", min_value=0),expect_column_values_to_be_decreasing(column=""view_count"")",1.0,1.0,1.0,100.00000000000004
"For the `application_date` and `approval_date`, confirm that `approval_date` must be later than `application_date`.","expect_column_pair_values_A_to_be_greater_than_B(column_A=""approval_date"", column_B=""application_date"")","expect_column_pair_values_A_to_be_greater_than_B(column_A=""approval_date"", column_B=""application_date"")",1.0,1.0,1.0,100.00000000000004
Check the `transaction_date` column: Ensure all entries are in 'YYYY-MM-DD' format and that there are no missing values.,"expect_column_to_exist(column=""transaction_date""),expect_column_values_to_match_strftime_format(column=""transaction_date"", strftime_format=""%Y-%m-%d""),expect_column_values_to_not_be_null(column=""transaction_date"")","expect_column_values_to_match_strftime_format(column=""transaction_date"", strftime_format=""%Y-%m-%d""),expect_column_values_to_not_be_null(column=""transaction_date"")",0.8771929824561403,0.8727272727272727,0.8771929824561403,74.59449699846691
In the `filing_date` column: Ensure all datetime entries match the format `%Y-%m-%d` and are not in the future.,"expect_column_values_to_match_strftime_format(column=""filing_date"", strftime_format=""%Y-%m-%d""),expect_column_values_to_be_dateutil_parseable(column=""filing_date"")  # To ensure valid datetime entries,# Additionally, you would need a custom expectation to check for future dates since it's not in the accepted expectations.","expect_column_values_to_match_strftime_format(column=""filing_date"", strftime_format=""%Y-%m-%d""),expect_column_values_to_be_dateutil_parseable(column=""filing_date""),expect_column_values_to_be_between(column=""filing_date"", min_value=""1900-01-01"", max_value=""today"")  # Replace today with the current date.",0.5918367346938774,0.5,0.5918367346938774,55.36474549394062
Verify that the `court_date` is greater than the `filing_date` for all records and both columns are of type 'datetime'.,"expect_column_pair_values_A_to_be_greater_than_B(column_A=""court_date"", column_B=""filing_date""),expect_column_values_to_be_of_type(column=""court_date"", type_=""datetime""),expect_column_values_to_be_of_type(column=""filing_date"", type_=""datetime"")","expect_column_pair_values_A_to_be_greater_than_B(column_A=""court_date"", column_B=""filing_date""),expect_column_values_to_be_of_type(column=""court_date"", type_=""datetime""),expect_column_values_to_be_of_type(column=""filing_date"", type_=""datetime"")  # Note: This is just a suggestion; you may need to adjust the column names based on your specific use case.",0.8076923076923077,0.8039215686274509,0.8076923076923077,80.40633217550045
Ensure the `amount` column values are within the range of 0.0001 to 10000 and are positive.,"expect_column_values_to_be_between(column=""amount"", min_value=0.0001, max_value=10000)","expect_column_values_to_be_between(column=""amount"", min_value=0.0001, max_value=10000),expect_column_values_to_be_between(column=""amount"", min_value=0, max_value=None)  # This is a valid expectation, but it's not necessary to check for positive values.  # Note: This expectation is not specific to the ""amount"" column, but rather to any column that has numeric values.  # Note: This expectation is not specific to the ""expect_column_values_to_be_between"" expectation, but rather to any expectation that checks for a specific range of values.  # Note: This expectation is not specific to the ""expect_column_values_to_be_between"" expectation, but rather to any expectation that checks for a specific range of values.  # Note: This expectation is not specific to the ""expect_column_values_to_be_between"" expectation, but rather to any expectation that checks for a specific range of values.  # Note: This expectation is not specific to the ""expect_column_values_to_be_between"" expectation, but rather to any expectation that checks for a specific range of values.  # Note: This expectation is not specific to the ""expect_column_values_to_be_between"" expectation, but rather to any expectation that checks",0.14150943396226415,0.13333333333333333,0.14150943396226415,9.837051219566733
For the `employee_id` field: Ensure that all values are unique and fall within the specified set of valid employee IDs.,"expect_column_values_to_be_unique(column=""employee_id""),expect_column_values_to_be_in_set(column=""employee_id"", value_set=valid_employee_ids)","expect_column_values_to_be_unique(column=""employee_id""),expect_column_values_to_be_in_set(column=""employee_id"", value_set=valid_employee_ids)",1.0,1.0,1.0,100.00000000000004
Check that the total count of emails in the `emails` table equals the count of unique addresses in the `recipients` column.,"expect_column_pair_values_to_be_equal(column_A=""emails"", column_B=""recipients"")","expect_table_row_count_to_equal(table=""emails""),expect_column_values_to_be_unique(column=""recipients"")  # Note: This assumes that the `recipients` column contains unique values. If this is not the case, you may need to modify the expectation accordingly.",0.37735849056603776,0.11764705882352941,0.2641509433962264,22.85743135645678
For the `sender_id` and `receiver_id` columns: Ensure that each ID in `sender_id` exists in the `users` table and is unique across records.,"expect_column_values_to_be_unique(column=""sender_id""),expect_select_column_values_to_be_unique_within_record(column=""sender_id""),expect_column_values_to_be_in_set(column=""sender_id"", value_set=users_table_ids),expect_column_values_to_be_unique(column=""receiver_id""),expect_select_column_values_to_be_unique_within_record(column=""receiver_id""),expect_column_values_to_be_in_set(column=""receiver_id"", value_set=users_table_ids)","expect_column_values_to_be_unique(column=""sender_id""),expect_column_values_to_be_in_set(column=""sender_id"", value_set=users_table[""user_id""].unique())",0.5306122448979591,0.45833333333333337,0.5102040816326531,17.19015929093657
For fields `likes` and `shares`: Ensure the sum of `likes` and `shares` does not exceed `engagement_score`. Ensure all fields are of type 'integer' and not null.,"expect_column_pair_values_A_to_be_less_than_B(column_A=""likes"", column_B=""engagement_score""),expect_column_pair_values_A_to_be_less_than_B(column_A=""shares"", column_B=""engagement_score""),expect_column_values_to_be_of_type(column=""likes"", type_=""int""),expect_column_values_to_not_be_null(column=""likes""),expect_column_values_to_be_of_type(column=""shares"", type_=""int""),expect_column_values_to_not_be_null(column=""shares"")","expect_column_values_to_be_between(column=""likes"", min_value=0, max_value=engagement_score),expect_column_values_to_not_be_null(column=""likes""),expect_column_values_to_be_of_type(column=""likes"", type_=""int""),expect_column_values_to_be_between(column=""shares"", min_value=0, max_value=engagement_score),expect_column_values_to_not_be_null(column=""shares""),expect_column_values_to_be_of_type(column=""shares"", type_=""int"")  # Note: This is a hypothetical expectation based on the provided requirements. Please adjust as needed based on your specific use case.",0.7151515151515152,0.5644171779141105,0.5575757575757576,67.22556626872948
Ensure the `employee_id` column has distinct values and all fall within the range of 1 to 5000.,"expect_column_values_to_be_unique(column=""employee_id""),expect_column_values_to_be_between(column=""employee_id"", min_value=1, max_value=5000)","expect_column_values_to_be_unique(column=""employee_id""),expect_column_values_to_be_between(column=""employee_id"", min_value=1, max_value=5000)",1.0,1.0,1.0,100.00000000000004
Validate that the `metadata` column contains valid JSON objects that adhere to the specified schema.,"expect_column_values_to_match_json_schema(column=""metadata"", schema={""type"": ""object""})","expect_column_values_to_be_json_parseable(column=""metadata""),expect_column_values_to_match_json_schema(column=""metadata"", schema={""type"": ""object"", ""properties"": {""name"": {""type"": ""string""}, ""version"": {""type"": ""string""}, ""description"": {""type"": ""string""}, ""type"": {""type"": ""string""}, ""url"": {""type"": ""string""}, ""created_at"": {""type"": ""string""}, ""updated_at"": {""type"": ""string""}}})  # Replace with actual schema  # Note: This is just an example, please replace with your actual schema.",0.3287671232876712,0.30985915492957744,0.3287671232876712,16.3038245145593
For the `email` field: Ensure it follows a valid email format and contains unique values. Confirm the field is required.,"expect_column_to_exist(column=""email""),expect_column_values_to_not_be_null(column=""email""),expect_column_values_to_match_regex(column=""email"", regex=r""^[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[a-zA-Z]{2,}$""),expect_column_values_to_be_unique(column=""email"")","expect_column_values_to_match_regex(column=""email"", regex=r""^[\w\.-]+@[\w\.-]+\.\w+$""),expect_column_values_to_be_unique(column=""email""),expect_column_values_to_not_be_null(column=""email"")  # Optional, but recommended.",0.6923076923076923,0.6578947368421052,0.4871794871794872,66.15416742981681
"Ensure the `property_type` column contains only distinct values matching `['Residential', 'Commercial', 'Industrial']`.","expect_column_distinct_values_to_equal_set(column=""property_type"", value_set=['Residential', 'Commercial', 'Industrial'])","expect_column_values_to_be_in_set(column=""property_type"", value_set=['Residential', 'Commercial', 'Industrial'])",0.8666666666666667,0.7142857142857143,0.8666666666666667,84.03034716144347
For the `billing_amount` column: Ensure the sum is less than or equal to 5000 and the average is between 50 and 200.,"expect_column_sum_to_be_between(column=""billing_amount"", min_value=None, max_value=5000),expect_column_mean_to_be_between(column=""billing_amount"", min_value=50, max_value=200)","expect_column_sum_to_be_between(column=""billing_amount"", min_value=0, max_value=5000),expect_column_mean_to_be_between(column=""billing_amount"", min_value=50, max_value=200)",0.9666666666666667,0.9310344827586207,0.9666666666666667,96.0132862288073
For the `policy_number` field: Ensure all entries are unique and formatted as 'INS-XXXXXX'. Validate that this field does not contain any null values.,"expect_column_values_to_be_unique(column=""policy_number""),expect_column_values_to_not_be_null(column=""policy_number""),expect_column_values_to_match_regex(column=""policy_number"", regex=r""^INS-\d{6}$"")","expect_column_values_to_be_unique(column=""policy_number""),expect_column_values_to_match_regex(column=""policy_number"", regex=r""^INS-\d{8}$""),expect_column_values_to_not_be_null(column=""policy_number"")",0.9696969696969697,0.9375,0.696969696969697,96.35586983844266
For field 'metadata': Ensure the field contains valid JSON objects and that parsing does not raise exceptions.,"expect_column_values_to_be_json_parseable(column=""metadata"")","expect_column_values_to_be_json_parseable(column=""metadata""),expect_column_values_to_not_be_null(column=""metadata"")  # Note: This assumes that the column values are not null. If this is not the case, please modify the expectation accordingly.",0.375,0.34782608695652173,0.375,28.196697072285215
Ensure that the `score` column contains integer values only and that they are greater than or equal to zero.,"expect_column_values_to_be_of_type(column=""score"", type_=""int""),expect_column_values_to_be_between(column=""score"", min_value=0)","expect_column_values_to_be_of_type(column=""score"", type_=""int""),expect_column_values_to_be_between(column=""score"", min_value=0, max_value=None)",0.9361702127659575,0.9333333333333333,0.9361702127659575,88.03173774565059
Ensure the `transaction_date` column values are monotonically increasing.,"expect_column_values_to_be_increasing(column=""transaction_date"")","expect_column_values_to_be_increasing(column=""transaction_date"")",1.0,1.0,1.0,100.00000000000004
Validate that the `consumption` values are within the range of `0` to `5000` kilowatt-hours.,"expect_column_values_to_be_between(column=""consumption"", min_value=0, max_value=5000)","expect_column_values_to_be_between(column=""consumption"", min_value=0, max_value=5000)",1.0,1.0,1.0,100.00000000000004
For field 'registration_date': Ensure the expect column to exist; Ensure this field matches the type 'date' and contains values less than or equal to the current date.,"expect_column_to_exist(column=""registration_date""),expect_column_values_to_be_of_type(column=""registration_date"", type_=""date""),expect_column_values_to_be_less_than_or_equal_to(column=""registration_date"", value=current_date)","expect_column_to_exist(column=""registration_date""),expect_column_values_to_be_of_type(column=""registration_date"", type_=""date""),expect_column_values_to_be_less_than(column=""registration_date"", value=datetime.datetime.now())  # Replace 'now' with the current date/time.",0.8533333333333333,0.7945205479452054,0.8533333333333333,78.48644290138506
"For field 'email': Validate that all email addresses conform to the pattern '^[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[a-zA-Z]{2,}$'.","expect_column_values_to_match_regex(column=""email"", regex=r""^[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[a-zA-Z]{2,}$"")","expect_column_values_to_match_regex(column=""email"", regex=r""^[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[a-zA-Z]{2,}$"")",1.0,1.0,1.0,100.00000000000004
For field 'price': Ensure the field matches the type 'decimal'. Ensure values in (price) are greater than 0. Ensure this field exists.,"expect_column_to_exist(column=""price""),expect_column_values_to_be_of_type(column=""price"", type_=""decimal""),expect_column_values_to_be_greater_than(column=""price"", value=0)","expect_column_to_exist(column=""price""),expect_column_values_to_be_of_type(column=""price"", type_=""decimal""),expect_column_values_to_be_between(column=""price"", min_value=0.01, max_value=None)",0.8666666666666666,0.7931034482758621,0.8666666666666666,81.31122552134251
For the `view_count`: Ensure the field matches the type 'integer'. Validate that all values are non-negative and adhere to the expected distribution parameters.,"expect_column_values_to_be_of_type(column=""view_count"", type_=""int""),expect_column_values_to_be_between(column=""view_count"", min_value=0),expect_column_parameterized_distribution_ks_test_p_value_to_be_greater_than(column=""view_count"", threshold=0.05)","expect_column_values_to_be_of_type(column=""view_count"", type_=""int""),expect_column_values_to_be_between(column=""view_count"", min_value=0, max_value=None),expect_column_parameterized_distribution_ks_test_p_value_to_be_greater_than(column=""view_count"", threshold=0.05)  # Replace threshold with your expected distribution threshold.",0.8936170212765957,0.8695652173913043,0.8936170212765957,84.4856064123368
